load_mw,timestamp,pca_abbrev,source
9478.673674619404,2016010519,SG,Singapore EMA
9462.70405562636,2016010520,SG,Singapore EMA
9692.100740145124,2016010521,SG,Singapore EMA
10349.36618625109,2016010522,SG,Singapore EMA
10985.2828447244,2016010523,SG,Singapore EMA
12072.06774102676,2016010600,SG,Singapore EMA
12725.20134610652,2016010601,SG,Singapore EMA
12988.30737842259,2016010602,SG,Singapore EMA
13069.81614206597,2016010603,SG,Singapore EMA
12884.98068541125,2016010604,SG,Singapore EMA
13052.2514157761,2016010605,SG,Singapore EMA
13188.25841911052,2016010606,SG,Singapore EMA
13155.62098341446,2016010607,SG,Singapore EMA
13093.00627804607,2016010608,SG,Singapore EMA
12821.42583027288,2016010609,SG,Singapore EMA
12341.32926679661,2016010610,SG,Singapore EMA
12347.09422436036,2016010611,SG,Singapore EMA
12256.78276018689,2016010612,SG,Singapore EMA
12022.27808964845,2016010613,SG,Singapore EMA
11463.0899210688,2016010614,SG,Singapore EMA
10827.92432600884,2016010615,SG,Singapore EMA
10228.24274025853,2016010616,SG,Singapore EMA
9832.603241596415,2016010617,SG,Singapore EMA
9588.893253167586,2016010618,SG,Singapore EMA
9431.519299039439,2016010619,SG,Singapore EMA
9396.623482393658,2016010620,SG,Singapore EMA
9587.054292664388,2016010621,SG,Singapore EMA
10192.49121275525,2016010622,SG,Singapore EMA
10849.45738573052,2016010623,SG,Singapore EMA
11899.88498827503,2016010700,SG,Singapore EMA
12560.9000874292,2016010701,SG,Singapore EMA
12870.14968794515,2016010702,SG,Singapore EMA
12951.47659719536,2016010703,SG,Singapore EMA
12745.91720889404,2016010704,SG,Singapore EMA
12919.58921744845,2016010705,SG,Singapore EMA
13038.67757038356,2016010706,SG,Singapore EMA
13027.46052348958,2016010707,SG,Singapore EMA
13016.3502973592,2016010708,SG,Singapore EMA
12754.79259693305,2016010709,SG,Singapore EMA
12275.28575129258,2016010710,SG,Singapore EMA
12303.11315528484,2016010711,SG,Singapore EMA
12181.46679499566,2016010712,SG,Singapore EMA
11947.12982767442,2016010713,SG,Singapore EMA
